Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Proyecto Forestal CO2Cero Caucho El Viento","PCR-CO-ECO-14-002","Carimagro S.A.S., Agroforestal El Encanto S.A.S., Vapinsa S.A.S., Agroganadería El Viento S.A., Exro Agrícola RL S.A.S y Agropecuaria Mayoragua S.A.S.","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",De-registered,,,0,0,0,0
"Fujian Datian Improved Forest Management Project","3456","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Luangwa Community Forests Project","1775","Not specified","Verra","VM0009","Agriculture; forestry and fishing","Zambia",Listed,,,0,9437919,5899274,3538645
"Conservation of Panama Forests - Reduction of GHG Emissions from Deforestation. Grouped Project","1881","Panamanian Pro Carbon Association (Asociación Panameña Pro Carbono. Approcarbono)","Verra","VM0015","Agriculture; forestry and fishing","Panama",Listed,,,0,0,0,0
"Silk Grass Farms Forest Conservation Project (REDD+)","5181","Not specified","Verra","VCS-VM0007","Agriculture; forestry and fishing","Belize",Listed,,,0,0,0,0
"Citizen:Forest Carbon Project","4074","Not specified","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"REDD + in the Forests of the Otún River Basin","2392","Empresa de Acueducto y Alcantarillado de Pereira S.A.S E.S. P","Verra","VM0015","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"ECO2 Rubber Forests Guatemala","1538","Negocios Energeticos De Occidente","Verra","AR-ACM0003","Agriculture; forestry and fishing","Guatemala",Listed,,,0,479057,303343,175714
"Nankang IMPROVED FOREST MANAGEMENT PROJECT","5045","Not specified","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"PROYECTO DE CARBONO FORESTAL ORGANIZACIÓN LA PRIMAVERA","PCR-CO-697-142-001","ORGANIZACION LA PRIMAVERA","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",Registered,,,0,130068,56581,73487
"GS5047 VPA72 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVII","GS11003","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Together the Forest Awaeté REDD+ Project","5200","Not specified","Verra","VM0048","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Grouped project for reforestation on degraded and non-forest lands","2531","EKI Energy Services Limited","Verra","AR-AM0014","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"CONSERVATION OF NATIVE FOREST IN THE BIODIVERSITY HOTSPOT OF PAPUA NEW GUINEA","2791","Not specified","Verra","VM00015","Agriculture; forestry and fishing","Papua New Guinea",Listed,,,0,0,0,0
"Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá","11","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,37305,31709,5596
"PRJ11- Forest Reserve - Kluang, Johor, MY","BCR-MY-319-14-003","Besgrade Plywood Sdn Bhd/ Homebase Plantation Sdn Bhd/ Carbon Vault Sdn Bhd","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Malaysia",Rejected,,,0,0,0,0
"Karidja forest restoration project","4473","aDryada","Verra","Methodology Under Development","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Strengthening rural livelihood through carbon finance: Agroforestry practices in Gorakhpur Forest Circle of Uttar Pradesh","4709","Department of Environment","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Jiangxi Dingnan Improved Forest Management Project","3153","Jiangxi Tianye Biotechnology Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Algoma Highlands Conservancy Improved Forest Management Project","1150","Algoma Highlands Conservancy","Verra","VM0010","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"GS5047 VPA64 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project IX","GS10995","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Proyecto de Mitigación Forestal Resguardo Indígena TICOYA","PCR-CO-ATI-14-001","Resguardo Indígena Tikuna, Cocama y Yagua (TICOYA), South Pole Carbon Asset Management S.A.S","BioCarbon Standard","BCR0002_Quantification of GHG Emission Reductions. REDD+ Projects","Forestry","Colombia",Registered,,,0,732433,80282,652151
"Guangdong Foshan Improved Forest Management Project","4656","Foshan Gaoming District Forestry Research Institute","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Jiangxi Poyang Improved Forest Management Project","3129","Jiangxi Tianye Biotechnology Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Hainan Baisha Improved Forest Management Project","4718","Fujian Jinsen Carbon Sink Technology Co. Ltd.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Bougouni-Yanfolila Forest Project, Mali","3593","Not specified","Verra","VM0006","Agriculture; forestry and fishing","Mali",Listed,,,0,0,0,0
"Forestal RioAquidaban (FRA)","4462","global-woods international AG","Verra","AR-AMS0007","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"KSM Forest Carbon Project","4075","Kluthe Sustainability Management","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Fujian Yong’an Improved Forest Management Project","1577","Yong’an Forestry Bureau of Fujian province","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,552409,152938,399471
"INFAPRO Rehabilitation of logged-over dipterocarp forest in Sabah, Malaysia","672","Face the Future","Verra","VM0005","Agriculture; forestry and fishing","Malaysia",Registered,,,0,509540,509540,0
"Inner Mongolia Genhe Improved Forest Management Project","4073","Genhe Forest Industry Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Forestry Project “More Forests for Medellin”","1434","Secretaría del Medio Ambiente del Municipio de Medellín","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Solar for Forest","GS3305","GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.","Gold Standard","CDM - AMS-I.D.","Energy Demand","Turkey",Registered,,,0,0,0,0
"Sankuru Peace Forest Grouped REDD Project","3592","Not specified","Verra","VM0015","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada","1530","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Registered,,,0,300550,194670,105880
"FUJIAN PUCHENG IMPROVED FOREST MANAGEMENT PROJECT","4091","Zhejiang Zhongzheng Forestry Development Co.","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Atlantic Forest Biodiversity Conservation Limeira Project REDD","2950","Not specified","Verra","VM0007","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Forestal y Papelera Concepción Biomass Residues Cogeneration Plant in Chile","CRG4GUWWM2WEHSPW921FKRVRADQZOG","PricewaterhouseCoopers","CDM Registry","CDM - ACM0002; ACM0006","Energy industries (renewable - / non-renewable sources)","Chile",Registered,2009-01-01T00:00:00.000Z,2015-12-31T00:00:00.000Z,0,0,0,0
"Reforestation project using native species in Maringa-Lopori-Wamba region (Democratic Republic of Congo): establishment of the "Bonobo Peace Forest"","96G0M9Q69QM250KM51XO0SFEWR47WD","Institut Congolais pour la Conservation de la Nature, University of Florence","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","Democratic Republic of Congo",Withdrawn,2009-01-01T00:00:00.000Z,2039-01-01T12:00:00.000Z,0,0,0,0
"Conversion to Proteccion of the Amazon Rain Forest","1000","Not specified","Verra","VM0010","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"KSM Forest Carbon Project.","4301","Kluthe Sustainability Management","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Futuro Forestal Nicaragua Reforestation Program","842J7KCG5SRVNU5AZ2O6DK8SK18ND1","WB-CF, Opera","CDM Registry","CDM - AR-AM0004","NA","Nicaragua",Validated,2007-05-28T00:00:00.000Z,2014-05-27T00:00:00.000Z,0,0,0,0
"HENAN SANMENXIA IFM (conversion of logged to protected forest) project","4191","Hangzhou Chaoteng Energy Technology Co.","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA","2356","WeAct Pty Ltd.","Verra","VM0015","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Sichuan Huili Improved Forest Management Project","3452","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Conserving the Mulanje Mountains, Malawi - Saving forests and empowering mountain communities with improved cookstoves","GS7142","Swiss Carbon Value Ltd.","Gold Standard","GS - OTHER","Energy Demand","Malawi",Registered,,,0,0,0,0
"Sakahk Papakititamo (Forest Breathes)","5058","Climate Smart Solutions Canada Inc.","Verra","VCS-VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"GS5047 VPA85 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIII","GS11021","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA53 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project I","GS10964","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"Reforestation of pastures in Sociedad Agrícola de Interés Social “José Carlos Mariátegui” - Joven Forestal Project, Perú","687","SAIS José Carlos Mariategui","Verra","AR-ACM0001","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
"Reforestation of Degraded Forest Reserves in Ghana","987","Form Ghana Ltd","Verra","AR-AM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,2222319,741811,1480508
"Pindó Biomass Energy Generation from Forest Biomass","8QQLQX0B4TFKCYAGY7PU71KQKA36XX","n.a.","CDM Registry","CDM - AMS-I.C.; AMS-III.E.","NA","Argentina",Registered,2013-01-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,0,0,0,0
"Miramichi Timber Forest Carbon Project","4076","Miramichi Timberlands Ltd","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Fujian Pucheng IFM (conversion of logged to protected forest) Project","2010","Zhejiang Zhongtuo Environmental Technology Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA77 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project V","GS11013","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Generation Forest Group Project","2481","Fundacion Bosque De Generaciones","Verra","ACM0003","Agriculture; forestry and fishing","Panama",Registered,,,0,63345,25062,38283
"Community Based Forest Plantation in India","3549","Greenovation Sustainability Solutions Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"REFORESTATION OF DEGRADED FOREST RESERVE AREAS IN GHANA, WEST AFRICA","2410","Miro Forestry Developments Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,904246,330343,573903
"Ñangareko Forest Reserve","4619","Not specified","Verra","VCS-VM0007","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"NEC AND SAKYU IFM -THE 1ST PILOT FOR FSC FOREST IN JAPAN-","3911","Not specified","Verra","VM0010","Agriculture; forestry and fishing","Japan",Listed,,,0,0,0,0
"GS5047 VPA59 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project IV","GS10990","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Ecobase European Improved Forest Management Project","5315","ECOBASE (PROJECT SPRUCE OÜ)","Verra","VCS-VM0003","Agriculture; forestry and fishing","Estonia",Listed,,,0,0,0,0
"Blue Forest & Mozambique: Building Africa’s Largest Mangrove Restoration Project","3142","Blue Forest","Verra","VM0007","Agriculture; forestry and fishing","Mozambique",Listed,,,0,0,0,0
"Management of Community Forests for the Reduction of Deforestation in the Peruvian Amazon","4429","Not specified","Verra","VM0015","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"Bull Run Overseas Forest Carbon Project","812","Bull Run Overseas Ltd.","Verra","VM0007","Agriculture; forestry and fishing","Belize",Registered,,,0,236758,213803,22955
"Tasar Forest Carbon Project","4708","COGNISPHERE SOLUTIONS LIMITED","Verra","ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Fujian Shunchang IFM (conversion of logged to protected forest) Project","2474","Fujian Shunchang State-owned Forest Farm","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"NATURAL FOREST REGENERATION FOR ENHANCED CARBON STOCKS IN THE ALBERTINE RIFT (FRECAR)","4889","World Wide Fund for Nature Denmark / Verdensnaturfonden","Verra","VM0047","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Small scale Sonbhadra JFM A/R CDM Project on degraded lands in Sonbhadra Forest Division, Uttar Pradesh, India","MJVYS0YD0GGCKXNM8QGCB7OH9UHQSB","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Guangdong Huaiji IFM (conversion  of  logged  to  protected  forest)  Project","3879","Huaiji County Weizhou Construction Investment and Development Group Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Bukaleba Forest Project","799","Busoga Forestry Co. Ltd (Subsidiary Green Resources)","Verra","AR-ACM0001","Agriculture; forestry and fishing","Uganda",Registered,,,0,906904,193075,713829
"PRJ10- Forest Reserve - Gurun, Kedah, MY","BCR-MY-319-14-006","Besgrade Plywood Sdn Bhd/ Greenton Plantation Sdn Bhd/ Carbon Vault Sdn Bhd","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Malaysia",Rejected,,,0,0,0,0
"REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia","3564","Fundación Biodiversa Colombia (FBC)","Verra","VM0015","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"BLUE CARBON MANGROVE CONSERVATION PROJECT:  RESTORING COASTAL ECOSYSTEMS ALONG THE COAST OF  KRISHNA DELTA, GODAVARI DELTA AND ADJOINING RESERVE  FOREST AREAS IN ANDHRA PRADESH","4045","Not specified","Verra","VCS-VM0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Yunnan Jinping IFM (conversion of logged to protected forest) Project","2637","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Guangxi Huanjiang IFM (conversion of logged to protected forest) Project","2327","Huanjiang Maonan Autonomous County Huashan Forestry Investment Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,234574,96488,138086
"Natural High Forest Rehabilitation Project on degraded land of Kibale National Park","673","Greenchoice","Verra","AR-ACM0001","Agriculture; forestry and fishing","Uganda",Registered,,,0,1178630,1024345,154285
"Carbon In Flavor and Arome Forests (C-BOSAR)","3970","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Lacandon – Forest for life REDD+ Project","1541","Not specified","Verra","VM0015","Agriculture; forestry and fishing","Guatemala",Registered,,,0,1616709,173049,1443660
"Forest Landscape Restoration in Panama","4884","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Panama",Listed,,,0,0,0,0
"GS5047 VPA78 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VI","GS11014","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Forest, Trees and Sustainable Livelihoods","GS11857","Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA)","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","India",Listed,,,0,0,0,0
"Small scale Chitrakoot JFM A/R CDM Project on degraded lands in Chitrakoot Forest Division, Uttar Pradesh, India","QVKDOES7WVK14P7R7LNNPTK2XKMVLF","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Hunan Miluo IFM (conversion of logged to protected forest) Project","4401","Hunan Carbon Technology Co.","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Namwasa Central Forest Reserve Reforestation Initiative","1OB7JARSHK055XMN54ITN69SBK1ZH1","National Forest Authority Uganda","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Uganda",Registered,2005-08-22T00:00:00.000Z,2025-08-21T00:00:00.000Z,0,0,0,0
"GS5047 VPA52 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project III","GS10828","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Improved Grazing Management in Mosaic Forest - Grasslands Landscapes in the Centre-North of Argentina.","4655","Vista Energy Argentina SAU","Verra","VM0032","Agriculture; forestry and fishing","Argentina",Listed,,,0,0,0,0
"Kokolopori Bonobo Peace Forest Grouped REDD Project","3575","Not specified","Verra","VM0015","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Sustainable Forest Plantations Leon","GS4544","Fundacion DIA","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Nicaragua",Registered,,,0,0,0,0
"Panambi REDD+ Project: Forest Conservation in the Paraguayan Chaco","4744","Ecosecurities Group Limited","Verra","VCS-VM0007","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"XiCO2e: Mexican Peninsula Forest Project","3343","FORLIANCE GmbH","Verra","VM0003","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"BaumInvest Forest Landscape Restoration Programme","GS11707","BaumInvest AG","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Costa Rica",Registered,,,0,0,0,0
"Fujian Dehua IFM (conversion of logged to protected forest) Project","2694","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA60 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project V","GS10991","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Forestal Apepu Carbon Project","2369","Forestal Apepu","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Registered,,,0,73093,0,73093
"Carbono Hass","181","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,21026,110,20916
"CARBONO GRESCO2","17","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,464752,281592,183160
"Carbono Bagatela","23","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,86699,48627,38072
"Vilhena REDD+ Project","138","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Approved,,,0,0,0,0
"Rio Crepori REDD+ Project","129","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Registered,,,0,0,0,0
"Alta Tapajos REDD+ Project","132","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Registered,,,0,0,0,0
"Rio Maicimirim REDD+ Project","144","PARATINTIN OPIPAM DO AMAZONAS","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Approved,,,0,2829681,0,2829681
"Carbono Rancho Victoria","180","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,217707,0,217707
"LIGNUS - BONOS DE CARBONO","232","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Metodología para Implementar Proyectos de Remoción de GEI Mediante Reforestación, Restauración Forestal y Establecimiento de Cultivos Leñosos","Agriculture; forestry and fishing","Colombia",Registered,,,0,0,0,0
"ILHA DO BANANAL +","123","BIOFIX CONSULTORIA LTDA","Cercarbono","M/LU/F-W01: Modular Methodology for Climate Change Mitigation Activities on Forest Lands and Wetlands","Agriculture; forestry and fishing","Brazil",Approved,,,0,3800754,226,3800528
"Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.","32","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,188603,160313,28290
"Bonos de Carbono Caracoli","10","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,202005,126861,75144
"Songtao Agriculture and Forestry Biomass Power Project","MGWNUVQCWC6D31A4UK1NJIK227L4Q5","n.a.","CDM Registry","CDM - ACM0018","Energy industries (renewable - / non-renewable sources)","China",Authorized,2014-04-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,0,0,0,0
"Sustainable Forestry Management Plan Capture and Sequestration Carbon","1561","Global Servicos de Engenharia","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia","BCR-CO-261-14-001","Organización La Primavera S.A., Bosques de la Orinoquía S.A., Bosques de La Primavera S.A., the María Padres Monfortianos Company, the Reforestadora Guacamayas S.A, Incomser Ltda  and the Reforestadora Los Cambulos S.A.S","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",Registered,,,0,8824117,3383493,5440624
"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited","1015","Indian Farm Forestry Development Co-operative Limited","Verra","AR-AMS0005","Agriculture; forestry and fishing","India",Registered,,,0,83688,9526,74162
"Enhancing Rural Livelihoods through Carbon Sequestration by adopting Agro-forestry practices and Natural Climate Solutions","3702","VEDA CLIMATE CHANGE SOLUTIONS LTD","Verra","ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"PROCUENCA: Forestry Project to Restore the Watershed of the Chinchiná River, an Environmental and Productive Alternative for the City of Manizales and the Surrounding Region.","4XU3GS9F63DTVWF6BPNRTKQ6ZI0536","Deloitte Touche Tohmatsu India","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Validated,2002-06-01T00:00:00.000Z,2022-06-01T00:00:00.000Z,0,0,0,0
"Komaza Smallholder Farmer Forestry Kenya","2623","Komaza Group Inc.","Verra","AR-AMS0007","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region","1378","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Registered,,,0,223517,222449,1068
"Moldova Community Forestry Development Project","RZ5M0HDR7X5Y4ANBBZLSGYRU27G6G2","WB-CF","CDM Registry","CDM - AR-AM0002","Afforestation and reforestation","Moldova",Registered,2006-11-01T00:00:00.000Z,2036-10-31T00:00:00.000Z,1023906,1023906,56557,967349
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR","PSO49NLKSHN2OGARN9FNR6NE6ZCBFQ","POCH Ambiental","CDM Registry","CDM - AR-ACM0002","Afforestation and reforestation","Lao People's Democratic Republic",Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
"WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT","4381","Not specified","Verra","VM0009","Agriculture; forestry and fishing","Indonesia",Listed,,,0,0,0,0
"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.","25","AGI Ambiental","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,27028,18382,8646
"Carbono Agroforestal La Argentina","31","Forestry Consulting Group S.A.S.","Cercarbono","NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations","Agriculture; forestry and fishing","Colombia",Approved,,,0,50140,42619,7521
